省份,城市,区域,院校名称,建校时间,隶属于,985工程,211工程,双一流,强基,国家重点学科,硕士点,博士点,重点实验室,占地面积(亩),院校类型,办学类型,办学性质,电子邮箱,地址,官方网址,官方电话,简介
山东,日照市,东港区,日照职业技术学院,1987,山东省,,,,,0,0,0,0,1242,综合类,专科（高职）,公办,rzpt12062@163.com,山东省日照市烟台北路16号,http://www.rzpt.cn/,"0633-7987111,0633-7987115",日照职业技术学院始建于1987年的日照市第三职业高中，1993年升格为日照市经济学校，1998年经教育部批准成为山东省首批高等职业院校之一。2014年，日照广播电视大学(日照经贸学校)和日照水产技工学校并入我校。目前，学院规划占地1242亩，建筑面积42.6万平方米，共有全日制在校生15000余人，教职工988人。设有海洋工程学院、建筑工程学院、机电工程学院、通用航空学院、现
河南,焦作市,,黄河交通学院,1995,河南省教育厅,,,,,0,0,0,0,1800,理工类,普通本科,民办,jtxyzsc@163.com,河南省焦作市武陟县迎宾大道333号,http://www.zjtu.edu.cn,"0391-7666711,0391-7666722,0391-7666733","黄河交通学院(HuangheJiaotongUniversity)是经国家教育部批准设置的河南省唯一一所培养交通专业人才为主的普通本科高校。建校20余年来，学校始终秉承\""修德、启智、博学、笃信\""的校训，面向现代交通运输和现代汽车制造与服务行业办学，先后为社会培养了6万余名优秀人才，为中原崛起、河南振兴、富民强省提供强有力的智力支持和人才支撑。黄河交通学院位于焦作市武陟迎宾大"
新疆,乌鲁木齐市,,新疆轻工职业技术学院,1958,新疆维吾尔自治区,,,,,0,0,0,0,2200,理工类,专科（高职）,公办,xjqg_ddzs@163.com,新疆乌鲁木齐米东区米东南路西四巷1147号,https://www.xjqg.edu.cn/xjqg/xjqg1/index.php,"0991-6850027,0991-6850034,0991-6860800",学院是自治区首批成立的公办普通高等职业院校，位于乌鲁木齐市，占地2300亩，建筑面积37万平方米，总资产5.6亿元。现有教职工667人，专任教师325人。其中，博士、硕士研究生学历160人，教授、副教授专业技术职务教师158人。国家及自治区教学名师10人，自治区级教学能手4人，自治区级教学团队7个。面向食品、轻纺、石油、煤化工、机电及机械制造等行业开设专业58个，其
河南,郑州市,,郑州旅游职业学院,1985,河南省,,,,,0,0,0,0,1251,综合类,专科（高职）,公办,lvyuanzhaojiuban@126.com,河南省郑州市郑东新区金龙路188号,http://www.zztrc.edu.cn/,"0371-61130065,0371-61130064,15617801001,0371-61130063,0371-61130062",郑州旅游职业学院前身是郑州旅游学校，创办于1985年，隶属于郑州市人民政府，历经四次跨越发展，于2004年5月经河南省人民政府批准、国家教育部备案成立的公办高等院校。在长期的办学历程中，学校逐步铸练形成了“立德修能、知行合一”的校训、“团结、勤勉、求实、创新”的校风、“严于修身、勤于治学”的教风、“勤学善思、求真致远”的学风。学校占地面积1251亩
天津,天津市,津南区,天津海运职业学院,2006,天津市,,,,,0,0,0,0,645,综合类,专科（高职）,公办,tjhyzyxy@163.com,天津海河教育园区雅深路8号,http://www.tjmc.edu.cn/,"022-28779722,022-28779900,022-28779901",天津海运职业学院是天津市教委直属的以培养海运人才为主，具有工学、经济学、管理学等学科门类的综合性公办全日制高等职业院校，其办学历史可追溯到1962年成立的天津市科学技术进修学院。学院是我国海事局向国际海事组织申报船员培训机构之一，是天津海事局在华北地区最先开办海员对外适任证书培训的机构之一，也是华北地区首批通过国家海事局《船员教育和培训
山东,烟台市,,中国人民解放军海军航空大学,1950,解放军海军,,,,,0,12,4,0,5300,军事类,普通本科,公办,,山东省烟台市芝罘区二马路188号,,"0535-6635886,0535-6635887,0535-6635888",中国人民解放军海军航空工程学院是一所以培养海军初级指挥军官和航空航天工程技术军官为主的高等军事院校，是海军指挥与工程技术人才培养的主要基地、航空航天领域科研中心和航母骄子的摇篮。学院创建于1950年，是新中国首批组建的军事院校之一，1963年被国防科工委确定为重点院校，1979年被国务院列入全国重点高等院校，1986年获硕士学位授予权，2000年获博士学位授
黑龙江,哈尔滨市,,黑龙江外国语学院,1993,黑龙江省教育厅,,,,,0,0,0,0,802,语言类,普通本科,民办,career@hiu.net.cn,黑龙江省哈尔滨市利民开发区师大南路1号,http://www.hiu.net.cn/,"0451-88121000,0451-88121111","黑龙江外国语学院(以下简称“龙外”)是经国家教育部批准设立的全日制普通本科高校。是黑龙江省唯一一所外语类普通本科院校。学校坐落于“北国冰城”——哈尔滨，始创于1993年，2003年3月更名为哈尔滨师范大学恒星学院，属于本科独立学院,2011年4月转设为普通本科高校，更名为黑龙江外国语学院。学校占地面积53.48万平方米，校舍建筑面积23.31万平方米，图书馆馆藏图书"
重庆,重庆市,永川区,重庆科创职业学院,1993,重庆市教委,,,,,0,0,0,0,800,综合类,专科（高职）,民办,cqiezs@163.com,重庆市永川区昌州大道西段28号,http://www.cqie.cn/,"023-49508222,023-49508777",重庆科创职业学院是经重庆人民政府批准，教育部备案，具有独立颁发国家学历文凭资格的全日制民办高职院校。学院始建于1993年，是中国西南规模较大，声誉较高的以培养智能制造、人工智能、建筑工程、汽车工程、经济管理和艺术与教育人才为主的全日制普通高职院校学院坐落于重庆市永川国家级高新技术产业开发区，毗邻4A级茶山竹海旅游风景区，学院校园占地852亩，
江苏,淮安市,,江苏食品药品职业技术学院,1960,江苏省,,,,,0,0,0,0,1269,理工类,专科（高职）,公办,spxyzjc@sina.com,江苏省淮安市高教园区枚乘东路4号,http://www.jsfpc.edu.cn/,"400-799-9556,13505231351",江苏食品药品职业技术学院是江苏省人民政府主办、江苏省教育厅主管的全日制普通高等学校。学院坐落在秀丽宜居、人文荟萃的历史文化名城——江苏省淮安市。这里交通便利，新长铁路、宁连高速、京沪高速、京杭大运河等穿境而过，涟水机场通达国内30多个大中城市，是新兴的交通枢纽、台资高地和江淮平原的重要商埠。学院占地1269亩，总建筑面积近28万平米，现有全日
新疆,昌吉回族自治州,,新疆农业职业技术学院,1958,新疆维吾尔自治区,,,,,0,0,0,0,6000,农林类,专科（高职）,公办,xjnzy_zsb@126.com,新疆维吾尔自治区昌吉市文化东路29号,http://www.xjnzy.edu.cn/,"0994-2334961,0994-6594177,0994-2362220",新疆农业职业技术学院是一所举办高等职业教育的公办全日制普通高等学校，创办于1958年。学院是全国首批28所国家示范性高职院校，是新疆首批“高等职业教育与本科教育联合培养应用本科人才”试点高职院校。学院先后荣获全国职业教育先进单位、全国创先争优先进基层党组织、黄炎培职业教育“优秀学校”、全国“百所德育科研名校”、全国高校毕业生就业典型经验高
浙江,杭州市,,浙江经贸职业技术学院,1979,浙江省,,,,,0,0,0,0,575,财经类,专科（高职）,公办,jmzs@163.com,杭州下沙高教园东区学林街280号,http://www.zjiet.edu.cn/,"0571-85126932,0571-86929796",浙江经贸职业技术学院是由浙江省供销社举办的以商贸流通类专业为主体的全日制公办高职学院。其前身是创办于1979年的浙江供销学校和创办于1984年的浙江省供销社职工学院。2016年6月经浙江省供销社批准，依托浙江经贸职业技术学院设立浙江合作经济管理学院。目前，学校位于浙江省杭州市下沙高教园区东区，占地575亩，建筑面积27万平方米。教学仪器设备总值1.3亿元，图
辽宁,沈阳市,,辽宁商贸职业学院,1984,辽宁省,,,,,0,0,0,0,111,财经类,专科（高职）,公办,lnsmzyxy@163.com,沈阳市沈河区东大营街11号,,"024-88496619,024-88496668",辽宁商贸职业学院成立于2005年4月，前身是始建于1984年的辽宁农业管理干部学院，是公办省属普通高等职业学院。学院位于中国东北中心城市沈阳，毗邻世界文化遗产清福陵，周边地区教育科研单位集中，校园环境幽雅，学术气氛浓郁，是求知治学的理想之地。学院拥有一支以专业带头人为主导，以优秀中青年教师为骨干，以双师型教师为特色的师资队伍。教师队伍中，副教
江苏,南京市,秦淮区,中国人民解放军陆军工程大学,2017,解放军总参谋部,,,,,0,18,11,0,11422,军事类,普通本科,公办,jlgzb@jlonline.com,"海福巷校区：江苏省南京市秦淮区后标营路88号,双龙街校区：江苏省南京市江宁区双龙大道60号",,"025-84483366,84867716,84864675",中国人民解放军理工大学，座落在长江之滨、人文荟萃的六朝古都南京，是一所新型的综合性全军重点院校。她是由具有半个多世纪辉煌历史的全国重点高校解放军通信工程学院，点燃“亚洲第一爆”的全国重点高校解放军工程兵工程学院，开拓新中国军事气象事业先河的空军气象学院和在高科技领域一枝独秀的总参第六十三研究所合并组建，形成了强强联手、优势互补的格
浙江,杭州市,,浙江商业职业技术学院,1911,浙江省,,,,,0,0,0,0,592,财经类,专科（高职）,公办,szyzsb@zjvcc.cn,浙江省杭州市滨江区滨文路470号,http://www.zjbc.edu.cn/,"0571-58108888,0571-58108080",浙江商业职业技术学院前身为创办于1911年的杭州中等商业学堂。一百多年来，学校秉承“诚、毅、勤、朴”的校训，坚持“育人为本，服务社会”的办学方针，培养了一大批专业技术人才，涌现出经济学家骆耕漠、爱国人士章乃器等著名校友，被誉为“浙商人才培养的摇篮”。现为全国首批现代学徒制试点高校、浙江省首批省级示范性高等职业院校和浙江省首批优质高职院校
山西,太原市,,山西老区职业技术学院,1991,山西省教育厅,,,,,0,0,0,0,0,综合类,专科（高职）,民办,shanxilaoquzhiyuan@163.com,山西省太原市和平北路东流街,http://www.sxlqzy.cn,"0351-6655188,0351-6655967,0351-6655005",山西老区职业技术学院是经山西省人民政府批准、教育部备案，具有颁发国家高等教育学历证书资格的全日制综合性高职院校。学院实行理事会统筹下的分工负责制，设有党委会、行政团队、院务委员会和工会。为弘扬和传承老区精神，学院成立了“老区精神研究中心”，创办了《山西老区职业教育》校刊。学院坐落在省城太原汾河西畔和平北路东流街，地理位置优越，交通
甘肃,兰州市,,兰州财经大学长青学院,2001,甘肃省教育厅,,,,,0,0,0,0,225,财经类,普通本科,民办,,甘肃省兰州市城关区店子街45号,http://changqing.lzufe.edu.cn,0931-8698906,兰州商学院长青学院成立于2001年，于2004年2月被教育部确认为甘肃省首批独立学院，属本科层次普通高等学校。学院面向全国招生，招生纳入国家普通高校统招计划。长青学院始终坚持“厚基础、宽口径、应用型、有特色”的培养目标，以教育教学质量为中心，充分利用现有的优质高等教育资源，在保持和发挥传统财经类学科优势的同时，积极发展和培育社会急需的应用学科
安徽,安庆市,迎江区,安庆师范大学,1897,安徽省,,,,,0,11,0,0,2844,师范类,普通本科,公办,zsc@aqtc.edu.cn,"菱湖校区：安庆市菱湖南路128号 ,龙山校区：安庆市集贤北路1318号",http://www.aqnu.edu.cn/,0556-5300117,安庆师范大学坐落在国家历史文化名城、国家园林城市、中国优秀旅游城市——安庆。这里是桐城派的故里、黄梅戏的故乡，有着“千年古城、文化之邦、百年省会、戏剧之乡”的美誉。学校傍依浩瀚长江，毗邻宁安高铁、合安九高铁，地理位置优越，水、陆、空交通便利，是皖西南地区唯一的省属师范大学。学校办学历史悠久，是安徽近代高等教育的发源地。1897年，清代著
浙江,金华市,,浙江横店影视职业学院,2008,浙江省教育厅,,,,,0,0,0,0,580,艺术类,专科（高职）,民办,hyxyzsb@126.com,浙江省东阳市横店镇都督南街138号,http://www.hcft.edu.cn/#/,"0579-86599999,0579-86013329,0579-86013352",浙江横店影视职业学院(筹)是经浙江省人民政府(浙政函［2006］54号文)批准由全国特大型民营企业----横店集团投资筹建的一所以影视科技和影视工程教育为主，以影视艺术和影视产业管理为辅的多科性高职院校。横店集团是以电气电子、医药化工和影视娱乐为主导产业的国家特大型民营企业。自1996年以来，横店集团已投资约30多亿元精心培育影视产业，并探索出一条企业自主投
四川,泸州市,,四川警察学院,1950,四川省,,,,,0,0,0,0,467,政法类,普通本科,公办,scjy_zsb@163.com,四川省泸州市江阳西路34号,http://www.scpolicec.edu.cn/,0830-3108557,四川警察学院是由四川省人民政府举办，四川省教育厅和四川省公安厅共同管理的四川省唯一一所全日制政法公安类普通本科高校。2011年，在全国省属公安本科高校中率先开展警务硕士专业学位研究生教育。学校是公安部警务实战训练四川基地、公安部国际维和警察选拔培训点、四川省公安厅警官培训基地、四川省公安民警心理训练基地、四川省公安厅战训基地。建校67年来
浙江,宁波市,,浙江工商职业技术学院,1914,浙江省,,,,,0,0,0,0,958,财经类,专科（高职）,公办,zsb@zjbti.net.cn,浙江省宁波市海曙区机场路1988号,http://www.zjbti.net.cn/,"0574-87422148,0574-87422003",浙江工商职业技术学院是浙江省人民政府首批批准成立的四所全日制公办普通高等职业院校之一，前身为创建于1914年的“宁波公立甲种商业学校”。学校现为全国高职高专人才培养工作水平评估优秀学校、浙江省示范性高等职业院校，浙江省优质高等职业院校建设单位。学校主校区位于中国商业名城、现代化国际港口城市——宁波，交通便利，区位优势明显，距市中心15分钟
浙江,杭州市,萧山区,浙江建设职业技术学院,1958,浙江省,,,,,0,0,0,0,1000,理工类,专科（高职）,公办,zjc6765@126.com,浙江省杭州市萧山高教园区,http://www.zjjy.net/,"0571-82871234,0571-82606765",浙江建设职业技术学院是浙江省唯一一所公办建设类全日制高等职业院校，前身浙江省建筑工业学校创办于1958年，2002年1月，经浙江省政府批准正式成立。学院办学60年来，为浙江省建设行业和地方经济建设输送了各类人才6万余名，是浙江省建设行业人才培养的基地和摇篮。在上级部门的关心支持下，学院的建设发展取得了显著成绩，2006年以优秀的成绩通过国家教育部高职高
浙江,杭州市,,浙江金融职业学院,1975,浙江省,,,,,0,0,0,0,612,财经类,专科（高职）,公办,zjfczs2008@126.com,浙江杭州市下沙高教园区东区学源街118号,http://www.zfc.edu.cn/,"0571-86739200,0571-86739000",浙江金融职业学院始建于1975年，前身为直属于中国人民银行总行的国家级重点中专——浙江银行学校，2000年划转浙江省管理，同年6月升格筹建高职学院，2002年1月正式建院，主要为经济金融行业培养高素质专门人才。2006年，学校被教育部、财政部确定为全国首批“国家示范性高等职业院校建设单位”并于2009年以优异成绩圆满通过教育部、财政部验收。2017年被确定为浙江省重
浙江,杭州市,,浙江机电职业技术学院,1952,浙江省,,,,,0,0,0,0,918,理工类,专科（高职）,公办,zimezsb@163.com,杭州市滨江区滨文路528号,https://www.zime.edu.cn/,0571-87773018,浙江机电职业技术学院是一所以培养机电类高素质技术技能人才为主的全日制高等职业院校。学院坚持“开放、合作、服务”的办学理念，秉承“求实、求精、求新”的校训。经过60多年的建设与发展，在几代“机电人”的艰苦奋斗和不懈努力下，学院已成为浙江省先进制造业紧缺人才培养的重要基地，教育部53所“国家高技能型紧缺人才培养项目”院校之一。2007年，学院被教
浙江,台州市,,台州职业技术学院,2001,浙江省,,,,,0,0,0,0,661,综合类,专科（高职）,公办,zsjyc@tzvtc.com,台州市经济开发区学院路788号,https://www.tzvtc.edu.cn/,"0576-88656666,0576-88656200,0576-88660086,0576-886",台州职业技术学院是政府举办的全日制普通高校，教育部高职高专院校人才培养工作水平评估优秀等级学校，教育部指定“国家紧缺人才培养基地”。学校位于新兴现代化港口城市台州市开发区，占地619亩。学校下设机电工程学院、电气系、计算机系、土木系、生化系、投资理财系、工商管理系、经济贸易系、外语系、公共管理系、体艺部、艺术学院和成人教育学院。现有30个
浙江,湖州市,,湖州职业技术学院,1979,浙江省,,,,,0,0,0,0,601,综合类,专科（高职）,公办,zsb@hzvtc.net,浙江省浙江省湖州市学府路299号,http://www.hzvtc.net.cn/,"0572-2363678,0572-2363667",湖州职业技术学院是一所经浙江省人民政府批准成立的公办全日制高职院校。学校位于沪杭宁中心腹地、国家历史文化名城、全国生态文明先行示范区——浙江湖州。学校前身为1979年创建的嘉兴供销技工学校、嘉兴粮食技工学校、浙江电大嘉兴分校，2002年升格为湖州职业技术学院。建校以来，学校坚持社会主义办学方向，全面贯彻党的教育方针，秉承“崇德尚能”校训，落实
江苏,无锡市,,无锡工艺职业技术学院,1958,江苏省,,,,,0,0,0,0,1000,艺术类,专科（高职）,公办,wxgyzjb@wxgyxy.cn,江苏省宜兴市荆邑南路99号,http://www.wxgyxy.cn/,"0510-81710066,0510-81710088,0510-81710099",无锡工艺职业技术学院是江苏省人民政府批准，隶属于江苏省教育厅的全日制普通高等学校，是宜兴目前唯一一所独立建制的高等学校。学院前身系创建于1958年的陶都工业大学，1959年调整为江苏省宜兴陶瓷工业学校，其渊源可以追溯到1933年创办的江苏省立宜兴陶瓷科职业学校。1985年更名为江苏省宜兴轻工业学校，2004年7月升格为无锡工艺职业技术学院。学院因陶而兴，拥有80
湖北,武汉市,,湖北第二师范学院,1931,湖北省,,,,,0,0,0,0,1718,师范类,普通本科,公办,zbb@hubce.edu.cn,武汉市东湖新技术开发区高新二路129号,http://www.hue.edu.cn/,"027-87943780,027-87943888",湖北第二师范学院位于九省通衢的湖北省武汉市，是一所以教师教育为主要特色，教育学、理学、工学、文学、管理学、艺术学等学科为支撑的省属普通本科院校，是湖北省教师教育的重要基地之一，为“湖北省2011计划”牵头高校和教育部“互联网+中国制造2025”产教融合促进计划建设院校。学校前身是1931年创立的湖北省立教育学院。湖北省工业学校、湖北省经济管理干部学
陕西,西安市,,陕西交通职业技术学院,1952,陕西省,,,,,0,0,0,0,690,理工类,专科（高职）,公办,a86405198@163.com,陕西省西安市文景路19号,http://www.scct.cn/,"029-86405535,029-86405005",陕西交通职业技术学院是陕西省人民政府举办、陕西省教育厅主管的公办高等职业院校，是国家优质高职院校建设单位、陕西省“一流学院”建设单位、陕西省优秀示范性高职院校。学校以培养交通运输类高素质技术技能型人才为宗旨，被誉为中国西部“交通建设管理人才的摇篮”。学校前身为成立于1952年的陕西省人民政府交通厅干部训练班，1956年改称陕西省交通学校，2001
浙江,杭州市,,浙江水利水电学院,1953,浙江省,,,,,0,0,0,0,1231,理工类,普通本科,公办,zsb@mail.zjwchc.com,浙江省杭州市下沙高教园区学林街583号,http://www.zjweu.edu.cn/,"0571-86929123,0571-86929232",浙江水利水电学院是一所办学历史悠久的工科类普通高等学校，前身可追溯到1953年的杭州水力发电学校和1956年的杭州水利学校、1958年的浙江电力专科学校、1975年的浙江水利电力学校(1978年9月更名为浙江水利水电学校)、1984年的浙江水利水电专科学校，2013年升格更名为浙江水利水电学院。经过60多年的不断进取，学院的各项事业得到了快速发展，在学科专业建设、师资队伍建
江苏,苏州市,,苏州工业职业技术学院,2003,江苏省,,,,,0,0,0,0,500,理工类,专科（高职）,公办,zhaosheng@siit.cn,江苏省苏州吴中大道国际教育园致能大道1号,http://www.siit.edu.cn/,"0512-66551750,0512-66550867",苏州工业职业技术学院是2003年由江苏省人民政府批准成立的公办普通高校，是江苏省示范性高职院校，2017年立项省高水平高职院校建设单位。其前身可追溯到成立于1946年9月的“江苏省立苏州高级工业职业学校”，是苏州最早建立的工科类职业技术学校。学院现设有精密制造工程系、机电工程系、电子与通信工程系、软件与服务外包学院、经贸管理系、建筑工程与艺术设计系
吉林,长春市,长春高新技术产业开发区,吉林动画学院,2000,吉林省教育厅,,,,,0,0,0,0,3305,艺术类,普通本科,民办,,吉林省长春市高新区博识路168号,http://www.jlai.edu.cn,"0431-87021904,0431-87021910,0431-87011156",吉林动画学院创建于2000年6月，2008年经教育部批准为民办普通本科高校。目前，学校下设动画艺术学院、漫画学院、游戏学院、虚拟现实学院、设计学院、广告学院、产品造型学院、电视与新媒体学院、电影学院、影视造型学院、文化产业商学院、民航学院、通识教育学院、马克思主义学院、国际交流学院、国际影视特效学院共16个学院，以及体育俱乐部、力行职业发展学院、
江苏,苏州市,,西交利物浦大学,2006,江苏省教育厅,,,,,0,44,18,0,610,综合类,普通本科,中外合作办学,admissions@xjtlu.edu.cn,苏州工业园区独墅湖科教创新区仁爱路111号,http://www.xjtlu.edu.cn,0512-88161888,西交利物浦大学（XJTLU，简称“西浦”）是经中国教育部批准，由西安交通大学和英国利物浦大学合作创立的，具有独立法人资格和鲜明特色的新型国际大学。她是中国目前唯一一所以理工管起步，强强合作，拥有中华人民共和国学士学位和英国利物浦大学学位授予权的中外合作大学。国际领先的高等教育西交利物浦大学面向海内外招收本科生、研究生，目前已有包括43个本科
江苏,南京市,,南京信息职业技术学院,1953,江苏省,,,,,0,0,0,0,1000,理工类,专科（高职）,公办,njcit8018@163.com,南京市仙林大学城文澜路99号,http://www.njcit.cn/,"025-85842018,400-888-1154",南京信息职业技术学院属国有公办院校，是国家示范性(骨干)高职院校、江苏省高水平高等职业院校建设单位。学校前身是创建于1953年的南京无线电工业学校，是新中国成立后的第一所电子中等专业学校。周恩来总理、陈毅、谭震林、习仲勋副总理曾到校视察，先后有3000多位外宾、专家到校参观交流。办学六十五年来，为社会输送了七万余名技术技能型人才。学校地处仙林大
河北,石家庄市,,河北传媒学院,2000,河北省教育厅,,,,,0,0,0,0,2060,艺术类,普通本科,民办,,河北省石家庄市新华区警安路8号,http://www.hebic.cn/,"0311-85100688,0311-85100699",河北传媒学院是一所以传媒、艺术类专业为主，艺、文、工、管、教等多学科兼容的民办普通全日制本科院校，经教育部备案，国际代码为12784。学校始建于2000年，2005年筹备升本，并招收第一届本科生，2007年经教育部批准正式升为本科院校，2009年获得学士学位授予权。2011年经国家学位委员会批准获得全日制硕士研究生招生资格，2013年开始与中国艺术研究院联合招收培养博士
新疆,乌鲁木齐市,,新疆交通职业技术学院,1953,新疆维吾尔自治区,,,,,0,0,0,0,855,理工类,专科（高职）,公办,xjjtxyzb163@163.com,新疆乌鲁木齐市米东区永顺街478号,http://www.xjjtedu.com,"0991-7902006,0991-3392000,0991-3392069",学院是自治区唯一一所以培养交通运输类专门人才为主的综合性高等职业院校，隶属于自治区交通运输厅，受自治区教育厅、人力资源和社会保障厅业务指导。学院占地855亩，建筑面积18万平方米，馆藏文献60余万册，教学仪器设备总值7000余万元，固定资产总值达6.05亿元，全日制在校生10219名。学院核定编制499人，实有在职职工459人，其中专任教师337人，占职工总数的73.4%。专
北京,北京市,朝阳区,北京劳动保障职业学院,1986,北京市,,,,,0,0,0,0,288,财经类,专科（高职）,公办,xxzx@bvclss.cn,"北京市朝阳区惠新东街5号（南校区）,北京市昌平区南口路32号（北校区）",http://www.bvclss.cn,"010-64941636,010-64941610",北京劳动保障职业学院是经北京市人民政府批准、教育部备案的全日制普通高等院校，行政主管部门为北京市人力资源和社会保障局，教育主管部门为北京市教育委员会。学院于1985年成立，前身是北京市劳动管理干部学院和北京市计划劳动管理干部学院，2006年改制更名为北京劳动保障职业学院，2009年成为北京市级示范高职院校，2011年成为国家骨干校建设院校，2019年入选北京
江苏,南京市,,南京交通职业技术学院,1953,江苏省,,,,,0,0,0,0,921,理工类,专科（高职）,公办,jyxgc@126.com,南京市江宁科学园龙眠大道629号,http://www.njitt.edu.cn/,"025-86115806,025-86115860",★江苏省示范性高等职业院校建设单位★教育部高职高专人才培养工作水平评估“优秀”学校★江苏交通运输职业教育集团理事长单位★江苏省文明单位标兵★江苏省高等学校文明学校★江苏省高等学校思想政治教育工作先进集体★江苏省高技能人才培养示范基地★省级人才培养模式创新实验基地★财政支持的高职教育创新实训基地★江苏省心理健康教育先进集体★江苏省平
海南,海口市,琼山区,海口经济学院,1974,海南省教育厅,,,,,0,0,0,0,1800,综合类,普通本科,民办,hjyzsbzy@126.com,海南省海口市美兰区桂林洋高校区海涛大道1001号海口经济学院,http://www.hkc.edu.cn/,"0898-65733733,0898-65733702",海口经济学院是2008年经国家教育部批准成立的海南省第一所独立设置的民办本科高校。学校的办学历史可以追溯到1974年创办的海口业余大学，历经海口职业大学、海口经济职业技术学院等发展阶段，具有45年办学历史。学校牢固树立应用型人才培养的办学定位，贯彻落实“一个中心”（人才培养），突出“两根主线”（教学、科研），推进“三大建设”（师资队伍、学科专业
河北,廊坊市,,燕京理工学院,2005,河北省教育厅,,,,,0,0,0,0,1000,理工类,普通本科,民办,zhaosheng13895@yit.edu.cn,北京东燕郊国家高新技术产业开发区迎宾北路45号,http://www.yit.edu.cn,"010-80843808,010-80843809,010-80844355",燕京理工学院，是经教育部批准设立的全日制普通本科院校，其前身是中国优秀独立学院——北京化工大学北方学院。学校2012年获得学士学位授予权，2013年经教育部批准转设更名为燕京理工学院，2015年成为河北省首批转型发展试点高校，2016年入选河北省硕士学位授予立项建设单位。学校位于京津冀一体化的核心区域——燕郊国家高新技术产业开发区，距天安门38公里，一河
四川,成都市,武侯区,四川音乐学院,1939,四川省,,,,,0,3,0,0,1200,艺术类,普通本科,公办,,"锦江校区：成都市武侯区新生路6号,新都校区：成都市新都区蜀龙大道中段620号",http://www.sccm.cn/,"028-85430270,028-85430022",四川音乐学院，其前身是创建于1939年的“四川省立戏剧教育实验学校”，经历了“四川省立音乐实验学校”、“四川省立技艺专科学校”、“四川省立艺术专科学校”、“成都艺术专科学校”、“西南音乐专科学校”等时期以后，1959年经教育部批准更为现名，成为当时国内具有本科办学层次的六所专业音乐院校之一。学校有两个校区、占地面积1200余亩，下设30个教学部门、18
山东,青岛市,城阳区,青岛城市学院,2003,山东省,,,,,0,0,0,0,1060,理工类,普通本科,民办,qdzb13378@163.com,山东省青岛市城阳区铁骑山路79号,http://www.qdc.edu.cn,"0532-86666668,0532-86666267,0532-86666720",青岛城市学院创立于2004年，前身是青岛理工大学琴岛学院。2021年2月，教育部致函山东省人民政府，同意青岛理工大学琴岛学院转设更名为青岛城市学院，标志着我校正式成为一所独立设置的全日制普通本科高校。学校位于被称为青岛市中央活力区的城阳区，环境优美，设施齐全，占地1058亩，校舍建筑面积44万平方米，建有83个实验室、12个校内实习实训场所，设立了现代工业
海南,海口市,,海南职业技术学院,2000,海南省,,,,,0,0,0,0,232,综合类,专科（高职）,公办,zs@hcvt.cn,海南省海口市南海大道95号,http://www.hcvt.cn/,"0898-31930666,0898-31930777,0898-31930888",海南职业技术学院创建于2000年，是海南省第一所独立设置公办性质的高职院校，隶属海南省人民政府。2003年通过教育部首批高职高专人才培养工作水平评估；2008年立项建设国家示范性高职院校，2011年通过国家验收，成为海南唯一的国家示范性高职院校；2015年成为全国首批现代学徒制试点单位，2017年、2018年连续两年入选全国高职院校“国际影响力50强”。学校坐落在美丽的
山东,聊城市,,聊城职业技术学院,2000,山东省,,,,,0,0,0,0,951,综合类,专科（高职）,公办,lcvtc@163.com,山东省聊城市花园北路133号,http://www.lcvtc.edu.cn/,"0635-8334937,0635-8375196",聊城职业技术学院是2000年10月经山东省人民政府批准成立的公办全日制普通高等专科学校，由原聊城卫生学校、聊城广播电视大学、聊城地区旅游职业中等专业学校和聊城市畜牧研究所合并组建而成，是首批“山东省示范性高职院校”和“山东省技能型人才培养特色名校”，是山东省职业教育学会德育工作委员会主任单位，是聊城市政府建设聊城现代职业教育体系的龙头单位
河北,石家庄市,,河北地质大学华信学院,2001,河北省教育厅,,,,,0,0,0,0,1350,财经类,普通本科,民办,zyd1007@126.com,石家庄市空港工业园区北环港路69号,http://www.sjzuehx.cn,"0311-80659066,0311-80659099",河北地质大学华信学院(原石家庄经济学院华信学院)成立于2001年，是经教育部和河北省人民政府批准设立，由河北地质大学(原石家庄经济学院)与石家庄开发区恒达工贸中心合作，按新机制新模式创办的独立设置的全日制普通本科高等学校，办学类型为独立学院，现有在校本科生10364人。学院位于石家庄市空港工业园区，毗邻石家庄正定国际机场及机场高铁站、石家庄综合保税
江苏,无锡市,锡山区,无锡学院,2002,江苏省,,,,,0,0,0,0,1101,理工类,普通本科,公办,bjzb@nuist.edu.cn,江苏省无锡市锡山大道333号,http://www.bjxy.cn,0510-88532333,南京信息工程大学滨江学院(以下简称滨江学院)成立于2002年，是经教育部批准、由南京信息工程大学和南京信息工程大学教育发展基金会共同举办的独立学院。南京信息工程大学是国家“双一流”建设高校，是江苏高水平大学建设高校。前身为南京大学气象学院，始建于1960年，1963年独立建校为南京气象学院，1978年列入全国重点大学，2004年更名为南京信息工程大学。2007年以来
